user,time,star,comment
Tân Trần Thanh,"10 tháng 1, 2022",1,Tẩy chay đơn vị vận chuyển Sh**** express nào đơn vị đó biến mất thì quay lại dùng. Mọi người sang app Lazada giao hàng cực nhanh
NPL,"10 tháng 1, 2022",1,"Áp hay bị đơ mà cứ phải cập nhật suốt, không còn được chọn đơn vị vận chuyển nửa,chán. shipper không chịu giao hàng tự hủy đơn cũng chả biết làm sao"
NPL,"9 tháng 1, 2022",1,Tôi ko thể sử dụng đc voucher gì cả. Cứ để đơn hàng ko đủ điều kiện:)? Ủa má ngta mua trên 100k là dư rồi ko đủ điều kiện là sao:)
6_Dân 8/9,"9 tháng 1, 2022",2,"App cứ bị gì ý bị lag mà con chậm nx trong khi chuyển qua app khac thì bình thường , lúc săn sasef là đúng kỉu ức chế lun"
6_Dân 8/9,"8 tháng 1, 2022",4,Tẩy chay đơn vị vận chuyển Sh**** express nào đơn vị đó biến mất thì quay lại dùng. Mọi người sang app Lazada giao hàng cực nhanh
Đằng Tử,"8 tháng 1, 2022",4,"Áp hay bị đơ mà cứ phải cập nhật suốt, không còn được chọn đơn vị vận chuyển nửa,chán. shipper không chịu giao hàng tự hủy đơn cũng chả biết làm sao"
Đằng Tử,"9 tháng 1, 2022",3,Tôi ko thể sử dụng đc voucher gì cả. Cứ để đơn hàng ko đủ điều kiện:)? Ủa má ngta mua trên 100k là dư rồi ko đủ điều kiện là sao:)
Tân Trần Thanh,"10 tháng 1, 2022",4,"App cứ bị gì ý bị lag mà con chậm nx trong khi chuyển qua app khac thì bình thường , lúc săn sasef là đúng kỉu ức chế lun"
NPL,"10 tháng 1, 2022",4,Giao hàng siêu lâu đặt đơn shop và địa chỉ cùng trong nội thành hà nội mà 10 ngày chưa giao. Liên hệ hỗ trợ thì vẫn câu thông cảm đợi tiếp
NPL,"9 tháng 1, 2022",4,Sh**** dùng nhiều lúc lag tức muốn xỉu đã thế nhiều lúc bắt cập nhật thì mới đc dùng. Bh vd máy hết dung lượng thì k dùng đc luôn. Mong Sh**** cải thiện tình trạng này
6_Dân 8/9,"9 tháng 1, 2022",4,"Tự động điều phối vận chuyển đã đành rồi còn vào best ex Kênh vận chuyển nhanh mà làm như người ta không trả tiền vậy, cả tuần mà cứ chuyển qua chuyển lại các kho."
6_Dân 8/9,"8 tháng 1, 2022",4,Truy cập vào trang web ( 𝐕𝐀𝐘𝟗.𝐂𝐎𝐌 ) để Kiếm tiền online miễn phí và Vay tiền ưu đãi không lãi suất nha
Đằng Tử,"8 tháng 1, 2022",4,Shoppe express quá tải đơn ko có nhân viên bốc hàng làm cho đơn hàng chậm cả tuần vậy mà Shoppe còn tham lúc nào cũng mặc định đơn vị vận chuyển là Shoppe express làm cho người mua nản ko còn muốn đặt hàng
Đằng Tử,"9 tháng 1, 2022",4,"App lỗi nhiều, giờ mua hàng ko cho chọn đơn vị vận chuyển, vào trúng cái Sh**** express là 2 tuần mới nhận đc hàng dùng nội thành"
Hoàng Đặng,"9 tháng 1, 2022",3,"Nasa cho quá trời cái mã 50k người mới làm ngta phái phái phải chốt đơn ngay và luôn, ai dè có dùng được cái nào đâu toàn bị lỗi f06, kì cục hết nói nổi 😡😡😡🤬🤬🤬"
ngọc tran,"8 tháng 1, 2022",1,"Sh**** Express đơn giao từ Đống Đa qua Bắc Từ Liêm mà lưu kho 3 ngày, xuất kho 3 ngày chưa thấy cập nhật thêm trạng thái"
Sang OFFICIAL CHANNEL,"8 tháng 1, 2022",1,Shoper ship thì mắc giao hàng thì lâu . App thì đơ đứng rồi văng luon . Với có mấy mã giãm giá áp dụng xong ko thanh toán được
Sang OFFICIAL CHANNEL,"8 tháng 1, 2022",1,Làm ăn như cc kho nào cx giam hàng đặt qq j tự hủ đơn của ngt hoài đặt khác thì tới kho đợi cả tháng mún hủy lại ko dc
Minh Nhựa,"8 tháng 1, 2022",2,Em muốn Sh**** làm thêm cái đánh giá shipper vì có gặp trường hợp shipper chưa giao hàng đòi bank tiền trc rồi còn chửi cả khách cơ ạ :)))
Minh Nhựa,"10 tháng 1, 2022",1,Truy cập vào trang web ( 𝐕𝐀𝐘𝟗.𝐂𝐎𝐌 ) để Kiếm tiền online miễn phí và Vay tiền ưu đãi không lãi suất nha
